id,skill,level
4971,Defence,70
4972,Defence,70
4973,Defence,70
4976,Defence,70
4977,Defence,70
4978,Defence,70
4979,Defence,70
4982,Attack,70
4983,Attack,70
4984,Attack,70
4985,Attack,70
4988,Defence,70
4989,Defence,70
4990,Defence,70
4991,Defence,70
4994,Defence,70
4995,Defence,70
4996,Defence,70
4997,Defence,70
5574,Defence,20
5575,Defence,20
5576,Defence,20
5630,Ranged,5
5631,Ranged,10
5632,Ranged,20
5633,Ranged,30
5634,Ranged,40
5637,Ranged,5
5638,Ranged,10
5639,Ranged,20
5640,Ranged,30
5641,Ranged,40
5644,Ranged,5
5645,Ranged,20
5646,Ranged,30
5647,Ranged,40
5650,Ranged,5
5651,Ranged,20
5652,Ranged,30
5653,Ranged,40
5656,Ranged,5
5657,Ranged,20
5658,Ranged,10
5659,Ranged,30
5660,Ranged,40
5663,Ranged,5
5664,Ranged,20
5665,Ranged,10
5666,Ranged,30
5667,Ranged,40
5672,Attack,5
5674,Attack,20
5676,Attack,30
5678,Attack,40
5680,Attack,60
5682,Attack,10
5690,Attack,5
5692,Attack,20
5694,Attack,30
5696,Attack,40
5698,Attack,60
5700,Attack,10
5708,Attack,5
5710,Attack,20
5712,Attack,30
5714,Attack,40
5716,Attack,60
5722,Attack,5
5724,Attack,20
5726,Attack,30
5728,Attack,40
5730,Attack,60
5733,Attack,10
5734,Attack,10
5736,Attack,10
6129,Defence,40
6130,Defence,40
6131,Defence,40
6133,Defence,40
6135,Defence,40
6137,Defence,40
6137,Magic,40
6139,Magic,40
6141,Magic,40
6147,Defence,40
6147,Magic,40
6153,Magic,40
6322,Defence,30
6324,Defence,30
6326,Defence,30
6328,Defence,30
6330,Defence,30
6522,Ranged,60
6523,Attack,60
6524,Defence,60
6525,Attack,60
6526,Attack,60
6526,Magic,60
6527,Attack,60
6562,Attack,30
6562,Magic,20
6563,Magic,40
6589,Attack,10
6591,Attack,10
6593,Attack,10
6595,Attack,10
6597,Attack,10
6599,Attack,10
6601,Attack,10
6603,Attack,10
6605,Attack,10
6607,Attack,10
6609,Attack,10
6611,Attack,10
6613,Attack,10
6724,Ranged,50
6739,Attack,60
6894,Defence,30
6895,Defence,30
6897,Attack,40
6910,Magic,50
6912,Magic,55
6914,Magic,60
6916,Defence,25
6916,Magic,50
6918,Defence,25
6918,Magic,50
6920,Defence,25
6920,Magic,50
6922,Defence,25
6922,Magic,50
6924,Defence,25
6924,Magic,50
6967,Defence,60
7158,Attack,60
7332,Defence,10
7334,Defence,30
7336,Defence,40
7338,Defence,10
7340,Defence,30
7342,Defence,40
7344,Defence,10
7346,Defence,30
7348,Defence,40
7350,Defence,10
7352,Defence,30
7354,Defence,40
7356,Defence,10
7358,Defence,30
7360,Defence,40
7362,Defence,20
7364,Defence,20
7370,Defence,40
7372,Defence,40
7374,Defence,40
7376,Defence,40
7461,Defence,40
7462,Defence,42
8464,Defence,40
8466,Defence,40
8468,Defence,40
8470,Defence,40
8472,Defence,40
8474,Defence,40
8476,Defence,40
8478,Defence,40
8480,Defence,40
8482,Defence,40
8484,Defence,40
8486,Defence,40
8488,Defence,40
8490,Defence,40
8492,Defence,40
8494,Defence,40
8682,Defence,5
8684,Defence,5
8686,Defence,5
8688,Defence,5
8690,Defence,5
8692,Defence,5
8694,Defence,5
8696,Defence,5
8698,Defence,5
8700,Defence,5
8702,Defence,5
8704,Defence,5
8706,Defence,5
8708,Defence,5
8710,Defence,5
8712,Defence,5
8714,Defence,40
8716,Defence,40
8718,Defence,40
8720,Defence,40
8722,Defence,40
8724,Defence,40
8726,Defence,40
8728,Defence,40
8730,Defence,40
8732,Defence,40
8734,Defence,40
8736,Defence,40
8738,Defence,40
8740,Defence,40
8742,Defence,40
8744,Defence,40
8746,Defence,5
8748,Defence,5
8750,Defence,5
8752,Defence,5
8754,Defence,5
8756,Defence,5
8758,Defence,5
8760,Defence,5
8762,Defence,5
8764,Defence,5
8766,Defence,5
8768,Defence,5
8770,Defence,5
8772,Defence,5
8774,Defence,5
8776,Defence,5
8839,Defence,40
8840,Defence,40
8842,Defence,40
8846,Defence,5
8847,Defence,10
8848,Defence,20
8849,Defence,30
8850,Defence,40
9084,Magic,65
9091,Magic,65
9092,Magic,65
9093,Magic,65
9096,Defence,40
9096,Magic,65
9097,Defence,40
9097,Magic,65
9098,Defence,40
9098,Magic,65
9099,Defence,40
9099,Magic,65
9100,Defence,40
9100,Magic,65
9101,Defence,40
9101,Magic,65
9102,Defence,40
9102,Magic,65
9104,Defence,40
9104,Magic,65
9177,Ranged,26
9179,Ranged,31
9183,Ranged,46
9185,Ranged,61
9672,Defence,30
9674,Defence,30
9676,Defence,30
9678,Defence,30
9805,Woodcutting,99
9806,Cooking,99
10286,Defence,40
10288,Defence,40
10290,Defence,40
10292,Defence,40
10294,Defence,40
10296,Defence,30
10298,Defence,30
10300,Defence,30
10302,Defence,30
10304,Defence,30
10306,Defence,10
10308,Defence,10
10310,Defence,10
10312,Defence,10
10314,Defence,10
10499,Ranged,40
10548,Defence,45
10550,Defence,45
10551,Defence,45
10555,Defence,45
10589,Defence,40
10601,Defence,20
10601,Magic,40
10602,Defence,20
10602,Magic,40
10603,Defence,20
10603,Magic,40
10604,Defence,40
10604,Magic,40
10605,Defence,25
10605,Magic,50
10606,Defence,40
10606,Magic,40
10609,Defence,40
10609,Magic,65
10611,Defence,40
10614,Defence,40
10619,Defence,20
10620,Defence,30
10665,Defence,10
10666,Defence,30
10667,Defence,40
10668,Defence,10
10669,Defence,30
10670,Defence,40
10671,Defence,10
10672,Defence,30
10673,Defence,40
10674,Defence,10
10675,Defence,30
10676,Defence,40
10677,Defence,10
10678,Defence,30
10679,Defence,40
10680,Defence,20
10681,Defence,20
10682,Defence,40
10683,Defence,40
10684,Defence,40
10685,Defence,40
10689,Magic,40
10690,Defence,10
10691,Defence,10
10699,Defence,10
10700,Defence,10
10701,Defence,10
10702,Defence,10
10703,Defence,10
10704,Defence,40
10705,Defence,40
10706,Defence,40
10707,Defence,40
10708,Defence,40
10709,Defence,30
10710,Defence,30
10711,Defence,30
10712,Defence,30
10713,Defence,30
10720,Magic,60
10798,Defence,40
10800,Defence,40
10822,Defence,20
10824,Defence,20
10828,Defence,55
10887,Attack,60
10887,Strength,40
10954,Defence,20
10956,Defence,20
10958,Defence,20
11230,Ranged,60
11231,Ranged,60
11233,Ranged,60
11234,Ranged,60
11235,Ranged,60
11283,Defence,75
11284,Defence,75
11335,Defence,60
11663,Defence,40
11664,Defence,40
11665,Defence,40
11674,Defence,40
11675,Defence,40
11676,Defence,40
11694,Attack,75
11696,Attack,75
11698,Attack,75
11700,Attack,75
11718,Defence,70
11720,Defence,70
11724,Defence,65
11726,Defence,65
11728,Defence,65
11730,Attack,70
11732,Defence,60
11736,Attack,30
11736,Magic,20
11738,Magic,40
12658,Defence,30
12659,Defence,30
12660,Defence,30
12661,Defence,30
12662,Defence,40
12662,Magic,40
12663,Defence,40
12663,Magic,40
12664,Defence,40
12665,Defence,40
12666,Defence,60
12667,Defence,60
12668,Defence,40
12668,Magic,65
12669,Defence,40
12669,Magic,65
12670,Defence,70
12671,Defence,70
12672,Defence,45
12673,Defence,45
12674,Defence,45
12675,Defence,45
12676,Defence,45
12677,Defence,45
12678,Defence,45
12679,Defence,45
12908,Defence,30
12909,Defence,30
12910,Defence,30
12911,Defence,30
12912,Defence,30
12913,Defence,30
12915,Defence,30
12916,Defence,30
12917,Defence,30
12918,Defence,30
12919,Defence,30
12920,Defence,30
12922,Defence,40
12923,Defence,40
12924,Defence,40
12925,Defence,40
12926,Defence,40
12927,Defence,40
12929,Defence,40
12930,Defence,40
12931,Defence,40
12932,Defence,40
12933,Defence,40
12934,Defence,40
12936,Ranged,40
12937,Ranged,40
12938,Ranged,40
12939,Ranged,40
12940,Ranged,40
12941,Ranged,40
12943,Ranged,50
12944,Ranged,50
12945,Ranged,50
12946,Ranged,50
12947,Ranged,50
12948,Ranged,50
12950,Ranged,60
12951,Ranged,60
12952,Ranged,60
12953,Ranged,60
12954,Ranged,60
12955,Ranged,60
12957,Ranged,70
12958,Ranged,70
12959,Ranged,70
12960,Ranged,70
12961,Ranged,70
12962,Ranged,70
13263,Defence,10
13405,Ranged,60
13406,Attack,50
13406,Magic,40
13407,Defence,45
13408,Defence,45
13409,Defence,45
13410,Defence,45
13414,Defence,40
13415,Defence,40
13416,Defence,40
13417,Defence,40
13417,Magic,40
13418,Magic,40
13419,Magic,40
13422,Defence,40
13422,Magic,40
13425,Magic,40
13430,Attack,60
13444,Attack,70
13445,Attack,40
13445,Strength,50
13449,Defence,60
13450,Attack,75
13451,Attack,75
13452,Attack,75
13453,Attack,75
13455,Defence,70
13456,Defence,70
13458,Defence,65
13459,Defence,65
13460,Defence,65
13461,Attack,70
13462,Defence,60
13465,Attack,60
13466,Attack,60
13467,Attack,60
13468,Attack,60
13469,Attack,40
13470,Attack,60
13471,Attack,40
13472,Attack,60
13473,Attack,40
13474,Attack,40
13475,Attack,60
13476,Attack,40
13477,Attack,60
13478,Attack,60
13479,Attack,60
13480,Attack,40
13481,Defence,60
13482,Defence,40
13483,Defence,40
13483,Ranged,40
13484,Defence,40
13484,Ranged,50
13485,Defence,40
13485,Ranged,60
13486,Defence,40
13486,Ranged,70
13487,Defence,40
13488,Defence,60
13489,Defence,40
13490,Defence,60
13491,Ranged,40
13492,Ranged,50
13493,Ranged,60
13494,Ranged,70
13495,Defence,60
13496,Defence,40
13497,Ranged,40
13498,Ranged,50
13499,Ranged,60
13500,Ranged,70
13501,Defence,40
13501,Magic,40
13502,Defence,40
13502,Magic,40
13503,Defence,40
13503,Magic,40
13504,Defence,40
13504,Magic,40
13505,Defence,40
13505,Magic,40
13506,Defence,60
13507,Defence,40
13508,Defence,20
13508,Magic,40
13509,Defence,20
13509,Magic,40
13510,Defence,20
13510,Magic,40
13511,Defence,20
13511,Magic,40
13512,Defence,20
13512,Magic,40
13513,Defence,20
13513,Magic,40
13514,Defence,20
13514,Magic,40
13515,Defence,20
13515,Magic,40
13516,Defence,20
13516,Magic,40
13517,Defence,20
13517,Magic,40
13518,Defence,20
13518,Magic,40
13519,Defence,20
13519,Magic,40
13520,Defence,20
13520,Magic,40
13521,Defence,20
13521,Magic,40
13522,Defence,20
13522,Magic,40
13524,Ranged,30
13526,Ranged,40
13528,Ranged,60
13529,Ranged,50
13530,Ranged,61
13557,Magic,40
13734,Defence,40
13736,Defence,40
13738,Defence,75
13740,Defence,75
13742,Defence,75
13744,Defence,75
13765,Attack,40
13766,Attack,40
13767,Attack,40
13768,Attack,40
13769,Attack,40
13770,Attack,60
13771,Attack,40
13772,Attack,60
13773,Attack,40
13774,Attack,60
13775,Attack,40
13776,Attack,60
13777,Attack,40
13778,Attack,40
13779,Attack,40
13780,Attack,40
13781,Defence,40
13782,Defence,40
13783,Defence,40
13784,Defence,40
13787,Defence,40
13788,Defence,40
13800,Defence,40
13801,Defence,40
13802,Defence,40
13803,Defence,40
13804,Defence,40
13805,Defence,40
13806,Defence,40
13807,Defence,40
13808,Defence,40
13809,Defence,40
13858,Attack,78
13858,Defence,78
13858,Magic,78
13860,Attack,78
13860,Defence,78
13860,Magic,78
13861,Attack,78
13861,Defence,78
13861,Magic,78
13863,Attack,78
13863,Defence,78
13863,Magic,78
13864,Attack,78
13864,Defence,78
13864,Magic,78
13866,Attack,78
13866,Defence,78
13866,Magic,78
13867,Attack,78
13867,Magic,78
13869,Attack,78
13869,Magic,78
13879,Ranged,70
13880,Ranged,70
13881,Ranged,70
13882,Ranged,70
13884,Attack,78
13884,Defence,78
13886,Attack,78
13886,Defence,78
13887,Attack,78
13887,Defence,78
13889,Attack,78
13889,Defence,78
13890,Attack,78
13890,Defence,78
13892,Attack,78
13892,Defence,78
13893,Attack,78
13893,Defence,78
13895,Attack,78
13895,Defence,78
13896,Attack,78
13896,Defence,78
13898,Attack,78
13898,Defence,78
13899,Attack,78
13901,Attack,78
13902,Attack,78
13904,Attack,78
13905,Attack,78
13907,Attack,78
13908,Attack,20
13908,Defence,78
13910,Attack,20
13910,Defence,78
13911,Attack,20
13911,Defence,78
13913,Attack,20
13913,Defence,78
13914,Attack,20
13914,Defence,78
13916,Attack,20
13916,Defence,78
13917,Attack,20
13917,Defence,78
13919,Attack,20
13919,Defence,78
13920,Attack,20
13920,Defence,78
13922,Attack,20
13922,Defence,78
13923,Attack,20
13925,Attack,78
13926,Attack,20
13926,Defence,78
13928,Defence,78
13929,Attack,20
13931,Attack,20
13932,Attack,20
13932,Defence,78
13932,Magic,20
13934,Attack,20
13934,Defence,78
13934,Magic,20
13935,Attack,20
13935,Defence,78
13935,Magic,20
13937,Attack,20
13937,Defence,78
13937,Magic,20
13938,Attack,20
13938,Defence,78
13938,Magic,20
13940,Attack,20
13940,Defence,78
13940,Magic,20
13941,Attack,20
13941,Magic,20
13943,Attack,20
13943,Magic,20
13953,Ranged,20
13954,Ranged,70
13955,Ranged,70
13956,Ranged,70
13958,Defence,60
13960,Defence,60
13961,Defence,60
13963,Defence,60
13964,Defence,60
13966,Defence,60
13967,Defence,60
13969,Defence,60
13970,Defence,60
13972,Defence,60
13973,Attack,60
13975,Attack,60
13976,Attack,60
13978,Attack,60
13979,Attack,60
13981,Attack,60
13982,Attack,60
13984,Attack,60
13985,Attack,60
13987,Attack,60
13988,Attack,60
13990,Attack,60
14094,Defence,40
14118,Defence,40
14119,Defence,40
14120,Defence,40
14479,Defence,60
14481,Defence,60
14490,Defence,40
14492,Defence,40
14494,Defence,40
14592,Defence,40
14593,Defence,40
14594,Defence,40
14661,Attack,70
14679,Attack,40
14679,Strength,50
14681,Attack,40
14681,Strength,50
14729,Defence,40
14730,Defence,40
14731,Defence,40
18355,Magic,80
18357,Ranged,80
18353,Attack,80
18353,Strength,80
18349,Attack,80
18351,Attack,80
112954,Defence,60
119722,Defence,60
