npc_id,npc_level_combat,npc_name,npc_examine_text,npc_tile_size,npc_time_respawn
62,44,Jungle spider,A barely visible deadly jungle spider.,1,10
63,34,Deadly red spider,I think this spider has been genetically modified.,1,60
64,61,Ice spider,I think this spider has been genetically modified.,1,100
65,12,Leprechaun,It's an NPC.,1,10
66,1,Gnome,Like a mini man!,1,10
67,1,Gnome,Like a mini man!,1,10
68,1,Gnome,Like a mini man!,1,10
69,22,Lizard man,A scaly reptilian creature.,2,10
70,1,Turael,It's an NPC.,1,10
71,20,Orc,"Ugly, smelly and full of bad attitude.",1,10
72,69,Troll,A hideously deformed creature.,1,10
73,13,Zombie,Dead man walking.,1,60
74,18,Zombie,Dead woman walking.,1,10
75,24,Zombie,The walking dead.,1,10
76,25,Zombie,The walking dead.,1,10
78,27,Giant bat,An annoying flappy thing.,2,90
79,83,Death wing,"A shadowy, barely visible flying entity from some evil place.",2,10
80,0,Camel,"Oh, it's a camel.",2,10
81,2,Cow,Converts grass to beef.,2,50
82,82,Lesser demon,"Lesser, but still pretty big.",2,60
83,92,Greater demon,"Big, red, and incredibly evil.",3,60
84,172,Black Demon,"A big, scary, jet-black demon.",3,120
85,55,Golem,A creature made from clay.,2,10
86,3,Giant rat,Overgrown vermin.,2,10
87,6,Giant rat,Overgrown vermin.,2,10
88,12,Dungeon rat,Overgrown vermin.,2,10
89,15,Unicorn,Horse with a horn.,2,10
90,22,Skeleton,Could do with gaining a few pounds.,1,60
91,21,Skeleton,Could do with gaining a few pounds.,1,60
93,45,Skeleton,Could do with gaining a few pounds.,1,60
94,16,Skeleton Mage,An undead worker of dark magic.,1,10
95,64,Wolf,Not man's best friend.,2,10
96,25,White wolf,A vicious mountain wolf.,2,10
97,38,White wolf,A vicious mountain wolf.,2,10
98,0,Dog,Bow wow.,1,10
111,53,Ice giant,He's got icicles in his beard.,2,80
119,48,Chaos dwarf,A dwarf gone bad.,1,60
126,64,Otherworldly being,Is he invisible or just a set of floating clothing?,1,10
141,73,Big Wolf,Must be the pack leader.,2,10
150,0,Gull,A sea bird.,2,10
162,0,Gnome trainer,He can advise on training.,1,10
181,13,Chaos druid,"A crazy, evil druid.",1,50
194,26,Necromancer,A crazy evil necromancer.,1,10
203,34,Donny the lad,Has a fearsome posture.,1,10
211,0,Sir Percival,One of the Knights of the Round Table.,1,10
219,0,Fisherman,It's a fisherman.,1,10
230,0,Grandpa Jack,He looks elderly.,1,10
240,0,Sir Gawain,One of the Knights of the Round Table.,1,10
249,0,Merlin,A powerful Wizard of the Knights of the Round Table.,1,10
261,0,Joe,A slave fighter. He looks mistreated and weak.,1,10
270,63,Khazard Ogre,Khazard's strongest ogre warrior.,2,10
280,0,Brother Cedric,An old drunk monk.,1,10
290,0,Doctor Orbon,A serious-looking doctor.,1,10
299,21,Goblin,He tries to keep order around here.,1,10
312,0,Fishing spot,It looks like there might be fish swimming in the water.,1,10
319,0,Fishing spot,It looks like there might be fish swimming in the water.,1,10
328,0,Fishing spot,It looks like there might be fish swimming in the water.,1,10
343,0,Guidor,He's not that ill.,1,10
349,0,Kilron,He looks shifty.,1,10
359,0,Man,One of Proximus's many citizens.,1,10
372,0,Mourner,"A mourner, or plague healer.",1,10
384,0,Barbarian guard,Not very civilised looking.,1,10
393,49,River troll,It's an NPC.,1,10
404,0,Fishing spot,Wow - the prettiest elf I have ever seen.,1,10
411,0,Swarm,Insects buzzing around.,1,10
425,14,Shade,Captain of the Dorgesh-Kaan City Guard.,1,10
436,0,Fallen Man,He's alive... just.,1,10
445,5,Goblin,An ugly green creature.,1,10
455,0,Kaqemeex,A wise druid.,1,10
468,0,Shark,Let's not go skinny dipping eh?,1,10
480,1,Gnome troop,It's a tree gnome trooper.,1,10
484,0,Local Gnome,It's a young tree gnome.,1,10
494,0,Banker,He can look after my money.,1,10
514,0,Seravel,"This is Seravel, he sells tickets for the 'Lady of the Waves'.",1,10
526,0,Shop keeper,A product of a consumerist society.,1,10
534,0,Fairy shop keeper,Sells stuff.,1,10
538,0,Peksa,Always up-to-date with the latest helmet fashions.,1,10
550,0,Lowe,Sells arrows.,1,10
559,0,Brian,An axe expert.,1,10
574,0,Silk merchant,Seems very well-off.,1,10
582,0,Dwarf,It's an NPC.,1,10
589,0,Zenesha,Sells top quality platemail armour.,1,10
603,0,Heckel Funch,It's another jolly tree gnome.,1,10
612,0,Greldo,An ugly green creature.,1,10
620,0,Panning guide,A specialist in panning for gold.,1,10
633,0,Gnome winger,A professional gnome baller.,1,10
642,0,Katrine,An empowered woman.,1,10
649,0,Archer,She looks quite experienced.,1,10
660,0,Knight,You'd need a tin opener to get him out.,1,10
671,0,Glough,A rough looking gnome.,1,10
680,0,Leatherworker,An expert leatherworker.,1,10
692,0,Tribal Weapon Salesman,Supplier of authentic throwing weapons.,1,10
701,0,Kent,He looks very tired and hungry.,1,10
707,0,Wizard Grayzag,Master of imps.,1,10
718,0,Mourner,"A mourner, or plague healer.",1,10
733,0,Bartender,I could get a beer from him.,1,10
737,0,Bartender,I could get a beer from him.,1,10
751,166,Null,He looks a tad upset.,1,10
760,0,Kitten,They look lost.,1,10
773,0,Cat,A fully grown feline.,1,10
778,0,Overgrown cat,"A friendly, not-so-little pet.",1,10
788,0,Garv,A diligent guard.,1,10
807,0,Pierre,His job doesn't look very fun...,1,10
822,0,Ana,She looks like a tourist.,1,10
827,10,Rowdy slave,It's an NPC.,1,10
842,43,Rowdy Guard,He looks a bit aggressive and rowdy.,1,10
847,0,Head chef,"Despite his name, rarely actually cooks heads.",1,10
861,0,Ogre guard,An ogre that guards.,2,10
872,0,Watchtower Wizard,The hat is a dead giveaway.,1,10
880,1,Weakened Delrith,The demon doesn't look so strong now.,2,10
890,0,Butler Jones,The Carnillean family butler.,1,10
901,0,Mouse,Deceptively mouse-shaped.,1,10
911,112,Kolodion,He's a shape-shifter.,3,-1
920,0,Prince Ali,A young prince.,1,10
943,0,Survival Expert,Very much an outdoors type.,1,10
949,0,Quest Guide,Your introduction to the world of Proximus.,1,10
958,0,Fadli,Looks kinda bored.,1,10
967,0,Dalal,A citizen of Al Kharid.,1,10
979,0,Slave,A wretched slave of Iban.,1,10
983,0,Slave,A wretched slave of Iban.,1,10
999,91,Doomion,One of the guardians of Iban.,3,10
112,42,Moss giant,His beard seems to have a life of its own.,2,60
122,28,Hobgoblin,"An ugly, smelly creature.",1,60
125,57,Ice warrior,A cold-hearted elemental warrior.,1,60
135,41,Mammoth,"A woolly, elephantine monster.",3,10
151,0,Fly trap,No flies on me.,1,10
164,23,Gnome guard,A tree gnome guard.,1,10
172,20,Dark wizard,A practicer of dark arts.,1,10
184,26,Pirate,This one's had too much to drink!,1,90
192,8,Dark warrior,A warrior touched by chaos.,1,10
202,34,Black Heather,Has a fearsome scowl.,1,10
222,5,Monk,A holy man.,1,10
234,0,Fishing spot,I can fish here.,1,10
243,0,Sir Tristram,One of the Knights of the Round Table.,1,10
251,0,King Arthur,Legendary King of the Britons.,1,10
262,0,Fightslave,A slave fighter. He looks mistreated and weak.,1,10
269,137,Bouncer,Postie Pete's worst nightmare.,2,10
281,3,Monk,An Ardougne Monk.,1,10
289,0,Councillor Halgrive,An official of Ardougne.,1,10
300,0,Sedridor,Chief of research at Wizards' Tower.,1,10
311,0,Fishing spot,It looks like there might be fish swimming in the water.,1,10
320,0,Fishing spot,It looks like there might be fish swimming in the water.,1,10
330,0,Fishing spot,It's an NPC.,1,10
341,0,Hops,He's drunk.,1,10
348,24,Mourner,"A mourner, or plague healer.",1,10
363,14,Woman,One of Proximus's many citizens.,1,10
374,58,Ogre,Ugly and bad-tempered.,2,10
383,0,Stankers,He's in control of the coal trucks.,1,10
395,120,River troll,It's an NPC.,1,10
410,0,Mysterious Old Man,A very strange old man...,1,10
420,29,Zombie,What's he doing here?,1,10
427,49,Shade,Captain of the Dorgesh-Kaan City Guard.,1,10
439,29,Tree spirit,It's an NPC.,1,10
449,26,Jail guard,I wonder who he's guarding?,1,10
460,0,Wizard Frumscone,A Wizard of the Magic Guild.,1,10
467,0,Shark,Let's not go skinny dipping eh?,1,10
479,1,Gnome troop,It's a tree gnome trooper.,1,10
487,0,Observatory assistant,I guess he wants to be more than just the muscle.,1,10
497,0,Banker,Looks after your money.,1,10
509,93,Nazastarool,A giant ghost of huge strength and devastating power.,2,10
522,0,Shop keeper,Likes people spending money.,1,10
528,0,Shop keeper,"If he doesn't have it, he can't sell it.",1,10
545,0,Dommik,"If Crafting's your thing, he's your man.",1,10
551,0,Shop keeper,"Ironically, makes a living from swords.",1,10
560,0,Jiminua,Goods for sale and trade.,1,10
569,0,Silver merchant,Looks fairly well fed.,1,10
587,0,Jatix,He runs the Herblore shop.,1,10
591,0,Kortan,He helps to run the adventurers' shop.,1,10
604,0,Thurgo,Dwarvish.,1,10
611,0,Witch,The Black Knights' resident witch.,1,10
621,0,Gnome baller,A professional gnome baller.,1,10
631,0,Gnome baller,A professional gnome baller.,1,10
643,23,Weaponsmaster,Looks kind of obsessive...,1,10
662,0,Lucy,Pretty barmaid.,1,10
673,0,Charlie,"Poor guy, he looks frightened.",1,10
682,0,Armour salesman,Supplier of Rangers armour.,1,10
688,19,Tower Archer,Defender of the north tower.,1,10
702,0,Fisherman,He smells of salty fish.,1,10
710,0,Alrena,She looks concerned.,1,10
720,0,Recruiter,A member of the Ardougne Royal Army.,1,10
729,0,Man,One of Proximus's many citizens.,1,10
739,0,Bartender,I could get a beer from him.,1,10
747,0,Oziach,A strange little man.,1,10
762,0,Kitten,A friendly little pet.,1,10
772,0,Cat,A fully grown feline.,1,10
780,0,Gertrude,A busy housewife.,1,10
793,0,Alfonse the waiter,"Smartly dressed, and ready to deliver food.",1,10
802,0,Brother Jered,A holy man.,1,10
809,0,Louisa,She looks like she enjoys her job.,1,10
821,0,Sinclair Guard dog,"Big, noisy, and scary looking!",1,10
830,47,Mercenary Captain,He looks a bit aggressive.,1,10
839,27,Desert Wolf,A vicious desert wolf.,2,10
853,0,Og,A senior member of the ogre community.,2,10
859,0,Ogre guard,An ogre that guards.,2,10
871,1,Ogre shaman,It's an NPC.,2,10
895,0,Boy,A sad-looking child.,1,10
905,0,Kolodion,He runs the mage arena.,1,-1
918,0,Ned,An old sailor.,1,10
926,0,Border Guard,Guards the border.,1,10
935,79,Viyeldi,The spirit of a long-dead wizard.,1,10
945,0,RuneNova Guide,Your introduction to the world of RuneNova.,1,10
955,2,Cow,A cow by any other name would smell as sweet.,2,10
961,0,Surgeon General Tafani,This doctor really knows her stuff.,1,10
972,0,Koftik,The cave guide.,1,10
981,0,Slave,A wretched slave of Iban.,1,10
991,1,Half-soulless,A creature empty of emotion.,2,10
118,10,Dwarf,A short angry guy.,1,10
130,58,Yeti,The abominable snowman.,3,10
142,25,Wolf,A social killer.,2,10
148,0,Albatross,A sea bird.,2,10
158,48,Shadow warrior,A fighter from the supernatural world. He's a shadow of his former self.,1,10
169,1,Gnome woman,A female gnome.,1,10
177,25,Witch,The hat's a dead give away.,1,10
185,23,Pirate,A fine example of piracy's equal opportunities program.,1,90
198,0,Guildmaster,Master of the Champions' Guild.,1,10
205,70,Salarin the twisted,"A crazy, evil druid.",1,10
218,0,Galahad,A former Knight of the Round Table.,1,10
225,0,Bonzo,The Fishing Contest judge.,1,10
235,0,Fishing spot,I can fish here.,1,10
246,94,Sir Palomedes,Specialist meat transporter.,1,10
268,0,Local,A scruffy-looking chap.,1,10
276,0,Winelda,A witch.,1,10
287,0,Ernest,A former chicken.,1,10
295,1,Null,It's an NPC.,1,10
305,0,Hudon,Looks young.,1,10
315,0,Fishing spot,It looks like there might be fish swimming in the water.,1,10
326,0,Fishing spot,It looks like there might be fish swimming in the water.,1,10
336,0,Da Vinci,It's an NPC.,1,10
346,0,Guard,He tries to keep order around here.,1,10
357,18,Mourner,"A mourner, or plague healer.",1,10
371,12,Mourner,It's an NPC.,1,10
377,0,Seaman Lorris,A young sailor.,1,10
388,0,Seer,Could do with a shave...,1,10
403,0,Fishing spot,It's an NPC.,1,10
413,14,Rock Golem,It's an NPC.,1,10
423,120,Zombie,Captain of the Dorgesh-Kaan City Guard.,1,10
431,0,Null,A pirate that can navigate better than a bird.,1,10
442,120,Tree spirit,Aww.,1,10
451,0,Gull,A sea bird.,1,10
463,0,Murphy,Salty old sea dog.,1,10
472,0,Remsai,It's a tree gnome.,1,10
483,0,Tracker gnome 3,It's a gnome who specialises in covert operations.,1,10
491,24,Pissed Ghost,He doesn't look like he wants you here.,1,80
503,61,Undead one,A minion of Rashiliyia.,1,10
513,0,Yohnus,"This is Yohnus, he runs the local smithery.",1,10
518,0,Captain Shanks,He's the Captain of the 'Lady of the Waves'.,1,10
527,0,Shop assistant,"Likes you more, the more you spend.",1,10
537,0,Scavvo,It's an NPC.,1,10
547,0,Baraek,Animal skins are a speciality.,1,10
555,0,Shop keeper,Has a fine moustache.,1,10
567,0,Fairy,Looks strange and mysterious.,1,10
572,0,Spice seller,Has a very exotic aroma about him.,1,10
579,0,Drogo dwarf,It's an NPC.,1,10
590,0,Aemad,He runs the adventurers' shop.,1,10
606,0,Squire,Indentured servant of a Knight.,1,10
627,0,Gnome baller,A professional gnome baller.,1,10
638,0,Apothecary,A dealer in potions.,1,10
648,0,King Roald,Varrock's resident monarch.,1,10
657,0,Monk of Entrana,Holy looking.,1,10
665,0,Boot,A short angry guy.,1,10
676,0,Femi,A gnome trader.,1,10
684,0,Tower Advisor,Tower keeper and competition judge.,1,10
696,0,Caroline,She looks very worried about something.,1,10
705,0,Melee combat tutor,"Harlan, ready to teach you swordplay.",1,10
714,0,Edmond,A local civilian.,1,10
726,0,Man,One of Proximus's many citizens.,1,10
734,0,Bartender,I could get a beer from him.,1,10
745,2,Wormbrain,A badly-behaved goblin.,1,10
756,0,Dr Harlow,A retired vampire hunter.,1,10
766,0,Kitten,A friendly little pet.,1,10
776,0,Overgrown cat,"A friendly, not-so-little pet.",1,10
786,0,Civilian,A citizen of Ardougne.,1,10
794,0,Charlie the cook,Distinctly cook-like.,1,10
806,0,Donovan the Family Handyman,He looks very tired...,1,10
825,0,Male slave,It looks like he's been here a long time.,1,10
835,0,Irena,A resident of Al-Kharid.,1,10
845,0,Horacio,Could do with losing a few pounds.,1,10
855,0,Toban,Ogre-ish.,2,10
864,0,Mad skavid,Looks mad.,2,10
873,0,Ogre trader,"Funnily enough, he doesn't actually buy or sell ogres.",2,10
882,0,Gypsy Aris,An old gypsy lady.,1,10
891,13,Alomone,Leader of the Hazeel cult.,1,10
904,0,Chamber guardian,He hasn't seen much sun lately.,1,10
914,54,Battle mage,He kills in the name of Guthix.,1,90
922,0,Aggie,A witch.,1,10
933,0,Siegfried Erkle,"An eccentric shopkeeper, related to the Grand Vizier of the Legends Guild.",1,10
941,79,Green dragon,Must be related to Elvarg.,4,80
948,0,Mining Instructor,An expert on Mining-related skills.,1,10
956,0,Drunken Dwarf,He's had a fair bit to drink...,1,10
969,0,Jeed,A citizen of Al Kharid.,1,10
975,0,Koftik,The cave guide.,1,10
987,15,Unicorn,The animal is caged here.,2,10
109,28,Pit Scorpion,"Tiny, annoying, stinging thing.",1,10
120,20,Dwarf,A mountain dwelling short angry guy.,1,10
132,3,Monkey,Perhaps our oldest relatives?,1,10
137,0,Mounted terrorbird gnome,Aaw baby chick!,2,10
149,0,Gull,A sea bird.,2,10
157,0,Butterfly,It's a Viceroy Butterfly.,1,10
167,0,Gnome baller,A professional gnome baller.,1,10
175,6,Mugger,He jumps out and attacks people.,1,60
187,15,Rogue,Rogueish.,1,10
195,22,Bandit,A wilderness outlaw.,1,10
207,0,Lollk,A young Dwarf lad.,1,10
217,0,Crone,A crone.,1,10
237,37,Renegade Knight,He isn't very friendly.,1,10
247,39,Sir Mordred,It's an NPC.,1,10
255,23,Khazard Guard,His armour indicates he's a Khazard Guard.,1,10
266,0,Jeremy Servil,It's an NPC.,1,10
275,43,Guardian of Armadyl,A guard who has devoted their life to Armadyl.,1,10
285,0,Veronica,She doesn't look too happy.,1,10
294,1,Null,It's an NPC.,1,10
304,0,Almera,Nice hair.,1,10
316,0,Fishing spot,It looks like there might be fish swimming in the water.,1,10
324,0,Fishing spot,It looks like there might be fish swimming in the water.,1,10
335,1,Null,It's an NPC.,1,10
345,0,Guard,He tries to keep order around here.,1,10
354,3,Woman,One of Proximus's many citizens.,1,10
364,0,King Lathas,King Lathas of East Ardougne.,1,10
373,0,Nurse Sarah,She's quite a looker!,1,10
385,0,Kharid Scorpion,Looks vicious!,1,10
389,0,Thormac,Nice hat.,1,10
401,0,Jungle forester,He deals in exotic types of wood.,1,10
416,79,Rock Golem,It's an NPC.,1,10
421,49,Zombie,The most senior goblin cleric.,1,10
432,138,Cyrisus,He's a ranger - light and accurate.,1,10
443,159,Tree spirit,It's an NPC.,1,10
452,0,Seth Groats,"A large, well built farmer.",1,10
462,0,Wizard Distentor,Head of the Magic Guild.,1,10
473,1,Elkoy,It's an NPC.,1,10
493,12,Grave scorpion,"A vicious, little, stinging thing.",1,10
502,68,Undead one,A minion of Rashiliyia.,1,10
512,0,Kaleb Paramaya,"This is Kaleb Paramaya, a warm and friendly inn owner.",1,10
523,0,Shop assistant,Likes helping sell stuff.,1,10
533,0,Shop assistant,Needs a haircut.,1,10
541,0,Zeke,Sells superior scimitars.,1,10
554,0,Fancy dress shop owner,For the interesting clothing items you just can't find elsewhere.,1,10
563,0,Arhein,He looks fairly well-to-do.,1,10
576,0,Harry,There's something fishy about him.,1,10
586,0,Gaius,"Ironically, makes a living from swords.",1,10
597,0,Noterazzo,The lawless shopkeeper.,1,10
599,0,Make-over mage,Master of the mystical make-over.,1,10
610,0,Black Knight Captain,One of the Black Knights.,1,10
619,0,Archaeological expert,An expert on archaeology.,1,10
630,0,Gnome baller,A professional gnome baller.,1,10
639,0,Romeo,Rather dense and soppy looking.,1,10
653,0,Fairy Queen,Looks otherworldy...,1,10
659,0,Party Pete,He likes to paaaarty!,1,10
669,0,Hazelmere,An ancient looking gnome.,1,10
679,0,Ranging Guild Doorman,The keeper of the gates to the ranging guild.,1,10
693,0,Competition Judge,Overseer of the Archery competition.,1,10
698,0,Holgart,A very good sailor.,1,10
711,0,Bravek,The city warder of West Ardougne.,1,10
721,0,Ted Rehnison,The head of the Rehnison family.,1,10
730,0,Man,One of Proximus's many citizens.,1,10
741,0,Duke Horacio,Duke Horacio of Lumbridge.,1,10
763,0,Kitten,A friendly little pet.,1,10
768,0,Cat,A fully grown feline.,1,10
783,0,Wilough,One of Gertrude's sons.,1,10
790,111,Trobert,A gnome who's supposed to be cleaning up a mess.,1,10
799,19,Pirate Guard,A morally ambiguous guard.,1,90
810,0,Mary,She looks very nervous...,1,10
819,0,Frank,He's dressed all in blue.,1,10
833,0,Bedabin Nomad,"A bedabin nomad, they live in the harshest extremes in the desert.",1,10
838,22,Shantay Guard,He patrols the Shantay Pass.,1,10
851,0,Gnome Waiter,He can serve you gnome food.,1,10
863,0,Scared skavid,Frightened-looking.,2,10
870,83,Enclave guard,Big and ugly looking.,2,10
883,0,Sir Prysin,One of the king's knights.,1,10
894,13,Hazeel Cultist,A member of the Hazeel cult.,1,10
902,0,Gundai,He must get lonely out here.,1,10
910,0,Kolodion,He's a shape-shifter.,1,-1
923,0,Hassan,The chancellor to the Emir.,1,10
932,0,Fionella,She sells general items at the Legends Guild.,1,10
940,187,Echned Zekin,A spirit of the underworld.,1,10
946,0,Magic Instructor,It's an NPC.,1,10
959,0,A'abla,Trained to deal with all sorts of injuries.,1,10
968,0,Afrah,A citizen of Al Kharid.,1,10
974,0,Koftik,It's an NPC.,1,10
988,62,Sir Jerro,A mighty-looking warrior.,1,10
114,60,Ogre,An angry Ogre in a funny hat.,2,10
134,64,Poison spider,I think this spider has been genetically modified.,1,60
144,32,King Scorpion,Wow! Scorpions shouldn't grow that big.,2,10
154,0,Butterfly,I love butterflies.,1,10
161,1,Gnome child,"Small, even by gnome standards.",1,10
171,0,Brimstail,"Small but wise, he is.",1,10
183,23,Pirate,Avast ye scurvy land lubbers!,1,90
193,37,Chaos druid warrior,A crazy evil druid.,1,10
204,34,Speedy Keith,Nice hair.,1,10
212,0,King Percival,A former Knight of the Round Table.,1,10
223,0,Brother Kojo,A peaceful monk.,1,10
233,0,Fishing spot,I can fish here.,1,10
239,0,Sir Lancelot,One of the Knights of the Round Table.,1,10
250,0,The Lady of the Lake,A powerful sorceress who guards Excalibur.,1,10
263,0,Hengrad,He looks mistreated but he hasn't given up.,1,10
273,0,Lucien,He walks with a slight limp.,1,10
283,26,Head Thief,The head of the treacherous blanket stealing gang.,1,10
293,1,Null,It's an NPC.,1,10
302,0,Hadley,Could do with losing a bit of weight.,1,10
317,0,Fishing spot,It looks like there might be fish swimming in the water.,1,10
329,0,Fishing spot,It looks like there might be fish swimming in the water.,1,10
340,0,Hops,He's drunk.,1,10
350,0,Omart,A nervous looking fellow.,1,10
360,4,Woman,One of Proximus's many citizens.,1,10
375,0,Redbeard Frank,A pirate.,1,10
380,0,Customs officer,Inspects people's packages.,1,10
391,14,River troll,It's an NPC.,1,10
399,0,Legends guard,A Legends Guild guard; he protects the entrance to the Legends Guild.,1,10
408,0,Strange plant,"Parrot on shoulder... hook for a hand... yup, definitely a pirate.",1,10
419,14,Zombie,It's an NPC.,1,10
428,79,Shade,It looks like the flare has blinded him.,1,10
437,0,Cap'n Izzy No-Beard,Entrance clerk for the Brimhaven Agility Arena.,1,10
450,0,Gull,A sea bird.,1,10
457,0,Restless ghost,Eek! A ghost!,1,10
465,0,Murphy,Salty old sea dog.,1,10
476,19,Khazard trooper,It's one of General Khazard's warriors.,1,10
485,0,Local Gnome,It's a young tree gnome.,1,10
495,0,Banker,Good with money.,1,10
504,68,Undead one,The animated dead; one of Rashiliyia's minions.,1,10
515,0,Yanni Salika,Yanni Salika; he buys and sells antiques.,1,10
524,0,Shop keeper,A product of a consumerist society.,1,10
536,0,Valaine,A champion saleswoman!,1,10
540,0,Gem trader,Makes his money selling rocks.,1,10
549,0,Horvik,The man with the armour.,1,10
558,0,Gerrant,A Fishing expert.,1,10
568,0,Zambo,Appears slightly drunk.,1,10
578,0,Frincos,Kind of funny-looking.,1,10
588,0,Davon,An amulet trader.,1,10
598,0,Hairdresser,Anyone fancy a trim?,1,10
608,0,Sir Amik Varze,Leader of the White Knights.,1,10
628,0,Gnome baller,A professional gnome baller.,1,10
635,0,Gnome ball referee,Keeps the game fair.,1,10
644,0,Straven,Kind of funny looking.,1,10
655,101,Tree spirit,Guardian of the dramen tree.,1,10000000
667,170,Chronozon,Chronozon the blood demon.,3,10
683,0,Bow and Arrow salesman,Supplier of Archery equipment.,1,10
690,49,Tower Archer,Defender of the south tower.,1,10
703,0,Fisherman,He smells of salty fish.,1,10
712,0,Carla,She looks upset.,1,10
722,0,Martha Rehnison,A fairly poor looking woman.,1,10
731,0,Bartender,I could get a beer from him.,1,10
743,0,Ned,An old sailor.,1,10
749,166,Angry barbarian spirit,He looks a tad upset.,1,-1
761,0,Kitten,A friendly little pet.,1,10
771,0,Cat,A fully grown feline.,1,10
777,0,Overgrown cat,"A friendly, not-so-little pet.",1,10
789,0,Grubor,A rough looking thief.,1,10
803,5,Monk,A holy man.,1,10
813,0,Gossip,One of those people who love to gossip!,1,10
823,0,Ana,Stuffed.,1,10
829,0,Null,It's an NPC.,1,10
841,0,Mine cart driver,He looks busy attending to his cart.,1,10
850,0,Aluft Gianne snr.,The famous tree gnome chef.,1,10
858,0,Ogre guard,These ogres protect the city.,2,10
869,0,Skavid,A skavid.,2,10
879,27,Delrith,A freshly summoned demon.,2,10
885,0,Ceril Carnillean,Head of the Carnillean household.,1,10
899,42,Witch's experiment (third form),Looks unnatural.,2,10
909,0,Kolodion,He's a shape-shifter.,3,-1
915,0,Leela,She comes from Al-Kharid.,1,10
929,70,Ungadulu,The Kharazi tribe's elusive shaman.,1,10
939,0,Boulder,It's an NPC.,2,10
951,3,Chicken,It's an NPC.,1,10
976,0,Koftik,The cave guide.,1,10
984,0,Slave,A wretched slave of Iban.,1,10
993,0,Witch's cat,Curiosity is yet to kill this one...,1,10
129,2,Skavid,Servant race to the ogres.,1,10
139,28,Entrana firebird,A giant raptor.,1,10
146,0,Gull,A sea bird.,2,10
156,0,Butterfly,It's a Tiger Swallowtail Butterfly.,1,10
165,0,Gnome shop keeper,Sells gnomish things.,1,10
179,33,Black Knight,A dark-hearted knight.,1,10
189,17,Monk of Zamorak,An evil human cleric.,1,10
200,0,Lord Daquarius,A mighty warrior!,1,10
213,0,Merlin,A powerful Wizard of the Knights of the Round Table.,1,10
224,12,Dungeon rat,A dirty rat.,1,10
231,0,Forester,He likes to cut down trees.,1,10
244,0,Sir Pelleas,One of the Knights of the Round Table.,1,10
258,112,General Khazard,She looks particularly wealthy.,1,10
264,0,Lady Servil,It's an NPC.,1,10
286,0,Professor Oddenstein,A mad scientist if ever I saw one!,1,10
