id,id_note,id_lend,id_template_note,id_template_lend,stackable,tradable,droppable,members_only,name,value,weight,examine
23111,-1,-1,-1,-1,f,t,t,f,Infinity gloves,12000,0.4,Mystical gloves.
23110,-1,-1,-1,-1,f,t,t,f,Infinity boots,12000,0.4,Mystical boots.
23109,-1,-1,-1,-1,f,t,t,f,Infinity hat,17000,0.4,A mystic hat.
23108,-1,-1,-1,-1,f,t,t,f,Infinity top,140000,2.2,Mystical robes.
23098,-1,-1,-1,-1,f,t,t,t,Stone fish,1,0.4,I wonder if I can make soup out of it?
23095,-1,-1,-1,-1,f,t,t,t,Supplies,1,20,Vital supplies for the war effort.
23094,-1,-1,-1,-1,f,t,t,t,Supplies,1,20,Vital supplies for the war effort.
23093,-1,-1,-1,-1,f,t,t,t,Supplies,1,20,Vital supplies for the war effort.
23092,-1,-1,-1,-1,f,t,t,t,Supplies,1,20,Vital supplies for the war effort.
23091,-1,-1,-1,-1,f,t,t,t,Supplies,1,20,Vital supplies for the war effort.
23090,-1,-1,-1,-1,f,t,t,t,Reward lamp,1,0.1,I wonder what happens when I rub it...
23089,-1,-1,-1,-1,f,t,t,t,Reward lamp,1,0.1,I wonder what happens when I rub it...
23088,-1,-1,-1,-1,f,t,t,t,Reward lamp,1,0.1,I wonder what happens when I rub it...
23087,-1,-1,-1,-1,f,t,t,t,Reward lamp,1,0.1,I wonder what happens when I rub it...
23086,-1,-1,-1,-1,f,t,t,t,Reward lamp,1,0.1,I wonder what happens when I rub it...
23085,-1,-1,-1,-1,f,t,t,t,Reward lamp,1,0.1,I wonder what happens when I rub it...
23081,-1,-1,-1,-1,f,t,t,t,Expensive spices,1,0.1,A container of some really expensive spices.
23078,-1,-1,-1,-1,f,t,t,t,Mouth-watering pie,1,0.4,"Now that the smell is gone, it doesn\'t look so bad."
23077,-1,-1,-1,-1,f,t,t,t,Expensive spices,1,0.1,A container of some really expensive spices.
21524,-1,-1,-1,-1,f,t,t,t,Shimmering shell,1,0,NULL
23076,-1,-1,-1,-1,f,t,t,t,Terrible pie,1,0.4,What madness has cookery wrought?
23075,-1,-1,-1,-1,f,t,t,t,Terrible pie (uncooked),1,0.4,A crime against cuisine.
23074,-1,-1,-1,-1,f,t,t,t,Stinking potato,1,0.5,Covered in lice and polar kebbit fluff.
23073,-1,-1,-1,-1,f,t,t,t,Manky crayfish,1,0.1,Disgustingly moist and slimy crayfish shell.
23072,-1,-1,-1,-1,f,t,t,t,Maggoty pie shell,1,0.2,A pie plate with suspiciously chewy dough moulded into it.
23071,-1,-1,-1,-1,f,t,t,t,Maggoty flour,1,1.3,A pot of flour mixed in with chunks of ground maggots.
23067,-1,-1,-1,-1,f,t,t,t,White hare meat,1,0.3,"I bet this would cook up a treat. Still, I can\'t eat it myself."
23066,-1,-1,-1,-1,f,t,t,t,Ancient wolf bone amulet,1,0.5,"The bones of a very, very old wolf."
23062,23063,-1,-1,-1,f,t,t,t,Poorly-cooked beast meat,4,2,It would have been cooked better as a spit-roast.
23058,23059,-1,-1,-1,f,t,t,f,Raw wolf meat,59,0.3,I need to cook this first.
23052,23053,-1,-1,-1,f,t,t,t,Spellstorm drape,250,0.4,A cape that enhances magic combat.
23050,23051,-1,-1,-1,f,t,t,t,Arrowstorm drape,250,0.4,A cape that enhances ranged combat.
23048,23049,-1,-1,-1,f,t,t,t,Bladestorm drape,250,0.4,A cape that enhances melee combat.
23047,-1,-1,-1,-1,f,t,t,t,Mindspike (fire),250,2.2,A magical staff with special properties.
23046,-1,-1,-1,-1,f,t,t,t,Mindspike (earth),250,2.2,A magical staff with special properties.
23045,-1,-1,-1,-1,f,t,t,t,Mindspike (water),250,2.2,A magical staff with special properties.
23044,-1,-1,-1,-1,f,t,t,t,Mindspike (air),250,2.2,A magical staff with special properties.
23043,-1,-1,-1,-1,f,t,t,t,Quickbow,250,1.3,A ranged weapon with special properties.
23042,-1,-1,-1,-1,f,t,t,t,Keenblade,250,4,A heavy weapon with special properties.
23035,-1,-1,-1,-1,f,t,t,t,Spiked gauntlets,6,0.2,"Spiked gloves, good for killing gelatinous abominations."
23032,-1,-1,-1,-1,f,t,t,t,Troll lieutenant's bones,1,0.8,"Ew, it\'s a pile of bones."
23031,-1,-1,-1,-1,f,t,t,t,Troll general's bones,1,0.8,"Ew, it\'s a pile of bones."
23027,-1,-1,-1,-1,f,t,t,t,The Book of Char,1,0.2,A book containing Char\'s secrets and knowledge.
23020,-1,-1,-1,-1,f,t,t,t,Firemaking journal compilation (6),1,0.2,Some old journals. It just needs one last chapter.
23019,-1,-1,-1,-1,f,t,t,t,Firemaking journal compilation (5),1,0.2,Some old journals. It\'s nearly complete.
23017,-1,-1,-1,-1,f,t,t,t,Firemaking journal compilation (3),1,0.2,Some old journals. Still half is missing.
23016,-1,-1,-1,-1,f,t,t,t,Firemaking journal compilation (2),1,0.2,A couple of old journals. There\'s still a lot missing.
23015,-1,-1,-1,-1,f,t,t,t,Firemaking journal compilation (1),1,0.2,It seems to be missing a large section. There must be others to collect.
23014,-1,-1,-1,-1,f,t,t,t,Burning log,1,0.5,Don\'t hold the hot end.
23009,-1,-1,-1,-1,f,t,t,t,Pitch can (blue),1,0.5,It\'s a can of pitch.
23008,-1,-1,-1,-1,f,t,t,t,Pitch can (yellow),1,0.5,It\'s a can of pitch.
23007,-1,-1,-1,-1,f,t,t,t,Pitch can,1,0.5,It\'s a can of pitch.
23006,-1,-1,-1,-1,f,t,t,t,Firemaker's trousers,10,0.5,Slightly singed.
23005,-1,-1,-1,-1,f,t,t,t,Firemaker's skirt,10,0.5,Slightly singed.
23004,-1,-1,-1,-1,f,t,t,t,Firemaker's tabard,10,0.5,Slightly singed.
23003,-1,-1,-1,-1,f,t,t,t,Firemaker's tabard,10,0.5,Slightly singed.
22996,-1,-1,-1,-1,f,t,t,t,Fire poi,1,1.8,Great balls of fire!
22979,-1,-1,-1,-1,f,t,t,f,Broken wand,1,0.9,What on Gielinor was Wizard Mizgog doing to get it into this state?
22972,-1,-1,-1,-1,f,t,t,t,Ranger boots,200,0.2,Lightweight boots ideal for rangers.
22971,-1,-1,-1,-1,f,t,t,t,Ranger boots,200,0.2,Lightweight boots ideal for rangers.
22970,-1,-1,-1,-1,f,t,t,t,Ranger boots,200,0.2,Lightweight boots ideal for rangers.
22969,-1,-1,-1,-1,f,t,t,t,Ranger boots,200,0.2,Lightweight boots ideal for rangers.
22968,-1,-1,-1,-1,f,t,t,t,Ice mask (angry),-1,0.4,An ice mask.
22967,-1,-1,-1,-1,f,t,t,t,Ice mask (happy),-1,0.4,An ice mask.
22966,-1,-1,-1,-1,f,t,t,t,Ice mask (happy),-1,0.4,An ice mask.
22962,-1,-1,-1,-1,f,t,t,t,Factory boots,250,0.4,Good firm tread and real leather uppers.
22961,-1,-1,-1,-1,f,t,t,t,Factory gloves,250,0.4,"For a workman\'s gloves, these seem very...thiefly, somehow."
22960,-1,-1,-1,-1,f,t,t,t,Factory trousers,1,0.4,"Good grief, that\'s a lot of pockets for a single trouser."
22959,-1,-1,-1,-1,f,t,t,t,Factory mask,375,0.4,Wearing this makes your voice sound harsh and menacing.
22958,-1,-1,-1,-1,f,t,t,t,Factory top,1,0.4,Reinforced to the second degree.
22577,-1,-1,-1,-1,f,t,t,t,Colonist's hat,-1,0.4,Functional yet fashionable clothing.
22576,-1,-1,-1,-1,f,t,t,t,Colonist's hat,1,0.4,Functional yet fashionable clothing.
22575,-1,-1,-1,-1,f,t,t,t,Colonist's hat,-1,0.4,Functional yet fashionable clothing.
22574,-1,-1,-1,-1,f,t,t,t,Colonist's hat,1,0.4,Functional yet fashionable clothing.
22573,-1,-1,-1,-1,f,t,t,t,Colonist's hat,-1,0.4,Functional yet fashionable clothing.
22572,-1,-1,-1,-1,f,t,t,t,Colonist's hat,1,0.4,Functional yet fashionable clothing.
22571,-1,-1,-1,-1,f,t,t,t,Colonist's hat,-1,0.4,Functional yet fashionable clothing.
22570,-1,-1,-1,-1,f,t,t,t,Colonist's hat,1,0.4,Functional yet fashionable clothing.
22569,-1,-1,-1,-1,f,t,t,t,Colonist's hat,-1,0.4,Functional yet fashionable clothing.
22568,-1,-1,-1,-1,f,t,t,t,Colonist's hat,1,0.4,Functional yet fashionable clothing.
22559,-1,-1,-1,-1,f,t,t,t,Ranger boots,-1,0.2,Lightweight boots ideal for rangers.
22558,-1,-1,-1,-1,f,t,t,t,Ranger boots,200,0.2,Lightweight boots ideal for rangers.
22557,-1,-1,-1,-1,f,t,t,t,Ranger boots,-1,0.2,Lightweight boots ideal for rangers.
22556,-1,-1,-1,-1,f,t,t,t,Ranger boots,200,0.2,Lightweight boots ideal for rangers.
22555,-1,-1,-1,-1,f,t,t,t,Ranger boots,-1,0.2,Lightweight boots ideal for rangers.
22554,-1,-1,-1,-1,f,t,t,t,Ranger boots,200,0.2,Lightweight boots ideal for rangers.
22553,-1,-1,-1,-1,f,t,t,t,Ranger boots,-1,0.2,Lightweight boots ideal for rangers.
22552,-1,-1,-1,-1,f,t,t,t,Ranger boots,200,0.2,Lightweight boots ideal for rangers.
22551,-1,-1,-1,-1,f,t,t,t,Full slayer helmet (charged),-1,2.2,You don\'t want to wear it inside-out.
22550,-1,-1,-1,-1,f,t,t,t,Full slayer helmet (charged),650,2.2,You don\'t want to wear it inside-out.
22549,-1,-1,-1,-1,f,t,t,t,Full slayer helmet (e),-1,2.2,You don\'t want to wear it inside-out.
22548,-1,-1,-1,-1,f,t,t,t,Full slayer helmet (e),650,2.2,You don\'t want to wear it inside-out.
22547,-1,-1,-1,-1,f,t,t,t,Full slayer helmet,-1,2.2,You don\'t want to wear it inside-out.
22546,-1,-1,-1,-1,f,t,t,t,Full slayer helmet,650,2.2,You don\'t want to wear it inside-out.
22545,-1,-1,-1,-1,f,t,t,t,Full slayer helmet (charged),-1,2.2,You don\'t want to wear it inside-out.
22544,-1,-1,-1,-1,f,t,t,t,Full slayer helmet (charged),650,2.2,You don\'t want to wear it inside-out.
22543,-1,-1,-1,-1,f,t,t,t,Full slayer helmet (e),-1,2.2,You don\'t want to wear it inside-out.
22542,-1,-1,-1,-1,f,t,t,t,Full slayer helmet (e),650,2.2,You don\'t want to wear it inside-out.
22541,-1,-1,-1,-1,f,t,t,t,Full slayer helmet,-1,2.2,You don\'t want to wear it inside-out.
22540,-1,-1,-1,-1,f,t,t,t,Full slayer helmet,650,2.2,You don\'t want to wear it inside-out.
22539,-1,-1,-1,-1,f,t,t,t,Full slayer helmet (charged),-1,2.2,You don\'t want to wear it inside-out.
22538,-1,-1,-1,-1,f,t,t,t,Full slayer helmet (charged),650,2.2,You don\'t want to wear it inside-out.
22537,-1,-1,-1,-1,f,t,t,t,Full slayer helmet (e),-1,2.2,You don\'t want to wear it inside-out.
22536,-1,-1,-1,-1,f,t,t,t,Full slayer helmet (e),650,2.2,You don\'t want to wear it inside-out.
22535,-1,-1,-1,-1,f,t,t,t,Full slayer helmet,-1,2.2,You don\'t want to wear it inside-out.
22534,-1,-1,-1,-1,f,t,t,t,Full slayer helmet,650,2.2,You don\'t want to wear it inside-out.
22533,-1,-1,-1,-1,f,t,t,t,Full slayer helmet (charged),-1,2.2,You don\'t want to wear it inside-out.
22532,-1,-1,-1,-1,f,t,t,t,Full slayer helmet (charged),650,2.2,You don\'t want to wear it inside-out.
22531,-1,-1,-1,-1,f,t,t,t,Full slayer helmet (e),-1,2.2,You don\'t want to wear it inside-out.
22530,-1,-1,-1,-1,f,t,t,t,Full slayer helmet (e),650,2.2,You don\'t want to wear it inside-out.
22529,-1,-1,-1,-1,f,t,t,t,Full slayer helmet,-1,2.2,You don\'t want to wear it inside-out.
22528,-1,-1,-1,-1,f,t,t,t,Full slayer helmet,650,2.2,You don\'t want to wear it inside-out.
22527,-1,-1,-1,-1,f,t,t,f,Picture,-1,0.4,A picture of a lady called Elena.
22526,-1,-1,-1,-1,f,t,t,f,Picture,1,0.4,A picture of a lady called Elena.
22525,-1,-1,-1,-1,f,t,t,f,Picture,-1,0.4,A picture of a lady called Elena.
22524,-1,-1,-1,-1,f,t,t,f,Picture,1,0.4,A picture of a lady called Elena.
22523,-1,-1,-1,-1,f,t,t,f,Picture,-1,0.4,A picture of a lady called Elena.
22522,-1,-1,-1,-1,f,t,t,f,Picture,1,0.4,A picture of a lady called Elena.
22521,-1,-1,-1,-1,f,t,t,f,Picture,-1,0.4,A picture of a lady called Elena.
22520,-1,-1,-1,-1,f,t,t,f,Picture,1,0.4,A picture of a lady called Elena.
22519,-1,-1,-1,-1,f,t,t,f,Picture,-1,0.4,A picture of a lady called Elena.
22518,-1,-1,-1,-1,f,t,t,f,Picture,1,0.4,A picture of a lady called Elena.
22517,-1,-1,-1,-1,f,t,t,f,Picture,-1,0.4,A picture of a lady called Elena.
22516,-1,-1,-1,-1,f,t,t,f,Picture,1,0.4,A picture of a lady called Elena.
22515,-1,-1,-1,-1,f,t,t,f,Picture,-1,0.4,A picture of a lady called Elena.
22514,-1,-1,-1,-1,f,t,t,f,Picture,1,0.4,A picture of a lady called Elena.
22513,-1,-1,-1,-1,f,t,t,f,Picture,-1,0.4,A picture of a lady called Elena.
22512,-1,-1,-1,-1,f,t,t,f,Picture,1,0.4,A picture of a lady called Elena.
22511,-1,-1,-1,-1,f,t,t,f,Picture,-1,0.4,A picture of a lady called Elena.
22510,-1,-1,-1,-1,f,t,t,f,Picture,1,0.4,A picture of a lady called Elena.
22509,-1,-1,-1,-1,f,t,t,f,Picture,-1,0.4,A picture of a lady called Elena.
22508,-1,-1,-1,-1,f,t,t,f,Picture,1,0.4,A picture of a lady called Elena.
22507,-1,-1,-1,-1,f,t,t,f,Picture,-1,0.4,A picture of a lady called Elena.
22506,-1,-1,-1,-1,f,t,t,f,Picture,1,0.4,A picture of a lady called Elena.
22505,-1,-1,-1,-1,f,t,t,f,Picture,-1,0.4,A picture of a lady called Elena.
22504,-1,-1,-1,-1,f,t,t,f,Picture,1,0.4,A picture of a lady called Elena.
22503,-1,-1,-1,-1,f,t,t,f,Picture,-1,0.4,A picture of a lady called Elena.
22502,-1,-1,-1,-1,f,t,t,f,Picture,1,0.4,A picture of a lady called Elena.
22501,-1,-1,-1,-1,f,t,t,f,Picture,-1,0.4,A picture of a lady called Elena.
22500,-1,-1,-1,-1,f,t,t,f,Picture,1,0.4,A picture of a lady called Elena.
22498,22499,-1,-1,-1,f,t,t,t,Polypore stick,75000,1.8,Grow polypore spores on it to imbue it with power.
22497,-1,-1,-1,-1,f,t,t,t,Polypore staff (degraded),1000,1.8,Imbued with power from the fungi growing on it.
22496,-1,-1,-1,-1,f,t,t,t,Polypore staff (degraded),100000,1.8,Imbued with power from the fungi growing on it.
22494,22495,-1,-1,-1,f,t,t,t,Polypore staff,200000,1.8,Imbued with power from the fungi growing on it.
22493,-1,-1,-1,-1,f,t,t,t,Ganodermic poncho (degraded),100,9.9,A poncho encrusted with ganodermic flakes.
22492,-1,-1,-1,-1,f,t,t,t,Ganodermic poncho (degraded),600000,9.9,A poncho encrusted with ganodermic flakes.
22490,22491,-1,-1,-1,f,t,t,t,Ganodermic poncho,900000,9.9,A poncho encrusted with ganodermic flakes.
22489,-1,-1,-1,-1,f,t,t,t,Ganodermic leggings (degraded),100,2.7,Leggings encrusted with ganodermic flakes.
14712,-1,-1,-1,-1,f,t,t,t,Beer,1,1,A glass of frothy ale.
22488,-1,-1,-1,-1,f,t,t,t,Ganodermic leggings (degraded),200000,2.7,Leggings encrusted with ganodermic flakes.
22486,22487,-1,-1,-1,f,t,t,t,Ganodermic leggings,400000,2.7,Leggings encrusted with ganodermic flakes.
22485,-1,-1,-1,-1,f,t,t,t,Ganodermic visor (degraded),100,0.4,A visor encrusted with ganodermic flakes.
22484,-1,-1,-1,-1,f,t,t,t,Ganodermic visor (degraded),100000,0.4,A visor encrusted with ganodermic flakes.
22482,22483,-1,-1,-1,f,t,t,t,Ganodermic visor,200000,0.4,A visor encrusted with ganodermic flakes.
22481,-1,-1,-1,-1,f,t,t,t,Grifolic poncho (degraded),100,4,A poncho encrusted with grifolic flakes.
22480,-1,-1,-1,-1,f,t,t,t,Grifolic poncho (degraded),40000,4,A poncho encrusted with grifolic flakes.
22478,22479,-1,-1,-1,f,t,t,t,Grifolic poncho,60000,4,A poncho encrusted with grifolic flakes.
22477,-1,-1,-1,-1,f,t,t,t,Grifolic leggings (degraded),100,4,Leggings encrusted with grifolic flakes.
22476,-1,-1,-1,-1,f,t,t,t,Grifolic leggings (degraded),25000,4,Leggings encrusted with grifolic flakes.
22474,22475,-1,-1,-1,f,t,t,t,Grifolic leggings,40000,4,Leggings encrusted with grifolic flakes.
21886,-1,-1,-1,-1,f,t,t,f,null,1,0,NULL
22473,-1,-1,-1,-1,f,t,t,t,Grifolic visor (degraded),100,0.4,A visor encrusted with grifolic flakes.
22472,-1,-1,-1,-1,f,t,t,t,Grifolic visor (degraded),20000,0.4,A visor encrusted with grifolic flakes.
22470,22471,-1,-1,-1,f,t,t,t,Grifolic visor,30000,0.4,A visor encrusted with grifolic flakes.
22469,-1,-1,-1,-1,f,t,t,t,Fungal poncho (degraded),100,2,A poncho encrusted with fungal flakes.
22468,-1,-1,-1,-1,f,t,t,t,Fungal poncho (degraded),2000,2,A poncho encrusted with fungal flakes.
22466,22467,-1,-1,-1,f,t,t,t,Fungal poncho,3000,2,A poncho encrusted with fungal flakes.
22465,-1,-1,-1,-1,f,t,t,t,Fungal leggings (degraded),100,1.8,Leggings encrusted with fungal flakes.
22464,-1,-1,-1,-1,f,t,t,t,Fungal leggings (degraded),1500,1.8,Leggings encrusted with fungal flakes.
22462,22463,-1,-1,-1,f,t,t,t,Fungal leggings,2500,1.8,Leggings encrusted with fungal flakes.
22461,-1,-1,-1,-1,f,t,t,t,Fungal visor (degraded),100,0.4,A visor encrusted with fungal flakes.
22460,-1,-1,-1,-1,f,t,t,t,Fungal visor (degraded),800,0.4,A visor encrusted with fungal flakes.
22458,22459,-1,-1,-1,f,t,t,t,Fungal visor,2000,0.4,A visor encrusted with fungal flakes.
22456,22457,-1,-1,-1,f,t,t,t,Mycelium poncho web,300,2,A basic poncho onto which flakes may be sewn.
22454,22455,-1,-1,-1,f,t,t,t,Mycelium leggings web,200,1.5,Basic leggings onto which flakes may be sewn.
22452,22453,-1,-1,-1,f,t,t,t,Mycelium visor web,90,0.2,A basic visor onto which flakes may be sewn.
22444,-1,-1,-1,-1,f,t,t,t,Neem oil,10,0.6,A natural fungicide.
22425,-1,-1,-1,-1,f,t,t,t,Illuminated Holy Book,1000,1,The holy book of Saradomin.
22424,-1,-1,-1,-1,f,t,t,t,Illuminated Unholy Book,200,1,The unholy book of Zamorak.
22423,-1,-1,-1,-1,f,t,t,t,Illuminated Book of Balance,200,1,The holy book of Guthix.
22422,-1,-1,-1,-1,f,t,t,t,Illuminated Book of War,1000,1,The holy book of the Big High War God.
22421,-1,-1,-1,-1,f,t,t,t,Illuminated Book of Law,1000,1,The holy book of Armadyl.
22420,-1,-1,-1,-1,f,t,t,t,Illuminated Ancient Book,1000,1,The unholy book of a forgotten god.
22418,-1,-1,-1,-1,f,t,t,t,Holy Cithara,10,1,The Holy Cithara of Saint Elspeth.
22416,-1,-1,-1,-1,f,t,t,t,Citharede robe top,30,0.9,The robe of the Saradominist order of Saint Elspeth Citharede.
22415,-1,-1,-1,-1,f,t,t,t,Citharede robe bottom,30,0.9,The robe of the Saradominist order of Saint Elspeth Citharede.
22414,-1,-1,-1,-1,f,t,t,t,Citharede hood,30,0.4,The robe hood of the Saradominist order of Saint Elspeth Citharede.
22413,-1,-1,-1,-1,f,t,t,t,Citharede robe top,1,0.9,The robe of the Saradominist order of Saint Elspeth Citharede.
22410,-1,-1,-1,-1,f,t,t,t,Turkey hat,-1,0.4,"A hat-wearing turkey, or a turkey wearing a hat?"
22409,-1,-1,-1,-1,f,t,t,t,Turkey hat,-1,0.4,"A hat-wearing turkey, or a turkey wearing a hat?"
22408,-1,-1,-1,-1,f,t,t,t,Turkey hat,-1,0.4,"A hat-wearing turkey, or a turkey wearing a hat?"
22407,-1,-1,-1,-1,f,t,t,t,Rune pickaxe,1,2.2,Used for mining.
22406,-1,-1,-1,-1,f,t,t,t,Ancient mace,1,1.8,It has ancient goblin symbols on it.
22405,-1,-1,-1,-1,f,t,t,t,Balmung,1,2.7,A raiding axe from an island kingdom.
22404,-1,-1,-1,-1,f,t,t,t,Silverlight,1,1.8,"The magical sword \'Silverlight\'. / The magical sword \'Silverlight\', stained black with mushroom ink. (during Shadow of the Storm)"
22401,-1,-1,-1,-1,f,t,t,t,Korasi's sword,1,0.9,The sword of a Void Knight.
22369,-1,-1,-1,-1,f,t,t,t,Spellcaster gloves (red),25000,0.3,Some pretty fantastical gloves.
22368,-1,-1,-1,-1,f,t,t,t,Spellcaster gloves (yellow),25000,0.3,Some pretty fantastical gloves.
22367,-1,-1,-1,-1,f,t,t,t,Spellcaster gloves (white),25000,0.3,Some pretty fantastical gloves.
22366,-1,-1,-1,-1,f,t,t,t,Spellcaster gloves (black),25000,0.3,Some pretty fantastical gloves.
22365,-1,-1,-1,-1,f,t,t,t,Swift gloves (red),25000,0.3,Watch my speedy hands!
22364,-1,-1,-1,-1,f,t,t,t,Swift gloves (yellow),25000,0.3,Watch my speedy hands!
22363,-1,-1,-1,-1,f,t,t,t,Swift gloves (white),25000,0.3,Watch my speedy hands!
22362,-1,-1,-1,-1,f,t,t,t,Swift gloves (black),25000,0.3,Watch my speedy hands!
22361,-1,-1,-1,-1,f,t,t,t,Goliath gloves (red),25000,0.3,Eat my mighty fists!
22360,-1,-1,-1,-1,f,t,t,t,Goliath gloves (yellow),25000,0.3,Eat my mighty fists!
22359,-1,-1,-1,-1,f,t,t,t,Goliath gloves (white),25000,0.3,Eat my mighty fists!
22358,-1,-1,-1,-1,f,t,t,t,Goliath gloves (black),25000,0.3,Eat my mighty fists!
22357,-1,-1,-1,-1,f,t,t,t,Dominion marker (stage 4),250,0.6,This will help me show off!
22356,-1,-1,-1,-1,f,t,t,t,Dominion marker (stage 3),250,0.6,This will help me show off!
22355,-1,-1,-1,-1,f,t,t,t,Dominion marker (stage 2),250,0.6,This will help me show off!
22354,-1,-1,-1,-1,f,t,t,t,Dominion marker (stage 1),250,0.6,This will help me show off!
22348,-1,-1,-1,-1,f,t,t,t,Dominion crossbow,100,6,Looks like it could fire bolts through anything.
22347,-1,-1,-1,-1,f,t,t,t,Dominion staff,100,2.1,It radiates magical power.
22346,-1,-1,-1,-1,f,t,t,t,Dominion sword,100,10,This blade holds a power granted by the tower.
22345,-1,-1,-1,-1,f,t,t,t,Colossal bomb,15,0.2,A catastrophically explosive weapon for inside the tower.
22344,-1,-1,-1,-1,f,t,t,t,Massive bomb,10,0.1,A powerful explosive weapon for inside the tower.
