id_npc,id_item,chance,amount_minimum,amount_maximum,rare
1086,436,59,1,1,f
3223,526,100,1,1,f
3223,555,74,7,7,f
3223,557,56,4,4,f
3223,554,69,6,6,f
3223,558,72,9,9,f
3223,562,43,2,2,f
3223,559,3,7,7,f
3223,199,75,1,1,f
3223,201,57,1,1,f
3223,203,64,1,1,f
3223,205,58,1,1,f
3223,207,57,1,1,f
3223,209,59,1,1,f
3223,211,48,1,1,f
3223,215,44,1,1,f
3223,217,42,1,1,f
3223,2485,53,1,1,f
3223,877,83,1,2,f
3223,882,64,7,7,f
3223,1203,63,1,1,f
3223,1139,66,1,1,f
3223,1381,46,1,1,f
3223,995,97,1,1,f
3223,1438,72,1,1,f
3223,1965,69,1,1,f
3223,313,71,1,1,f
3223,436,59,1,1,f
3223,438,55,1,1,f
3224,526,100,1,1,f
3224,555,74,7,7,f
3224,557,56,4,4,f
3224,554,69,6,6,f
3224,558,72,9,9,f
3224,562,43,2,2,f
3224,559,3,7,7,f
3224,199,75,1,1,f
3224,203,64,1,1,f
3224,205,58,1,1,f
3224,207,57,1,1,f
3224,213,74,1,1,f
3224,209,59,1,1,f
3224,211,48,1,1,f
3224,215,44,1,1,f
3224,217,42,1,1,f
3224,2485,53,1,1,f
3224,877,83,1,2,f
3224,882,64,7,7,f
3224,1203,63,1,1,f
3224,1381,46,1,1,f
3224,995,97,1,1,f
3224,1438,72,1,1,f
3224,1440,72,1,1,f
3224,1965,69,1,1,f
3224,313,71,1,1,f
3224,436,59,1,1,f
3224,438,55,1,1,f
3225,526,100,1,1,f
3225,555,74,7,7,f
3225,557,56,4,4,f
3225,554,69,6,6,f
3225,562,43,2,2,f
3225,559,3,7,7,f
3225,199,75,1,1,f
3225,201,57,1,1,f
3225,203,64,1,1,f
3225,205,58,1,1,f
3225,207,57,1,1,f
3225,213,74,1,1,f
3225,209,59,1,1,f
3225,211,48,1,1,f
3225,215,44,1,1,f
3225,217,42,1,1,f
3225,877,83,1,2,f
3225,882,64,7,7,f
3225,1203,63,1,1,f
3225,1139,66,1,1,f
3225,1381,46,1,1,f
3225,995,97,1,1,f
3225,1438,72,1,1,f
3225,1440,72,1,1,f
3225,1965,69,1,1,f
3225,313,71,1,1,f
3225,436,59,1,1,f
3225,438,55,1,1,f
3915,555,74,7,7,f
3915,557,56,4,4,f
3915,554,69,6,6,f
3915,558,72,9,9,f
3915,562,43,2,2,f
3915,559,3,7,7,f
3915,199,75,1,1,f
3915,201,57,1,1,f
3915,203,64,1,1,f
3915,205,58,1,1,f
3915,207,57,1,1,f
3915,213,74,1,1,f
3915,211,48,1,1,f
3915,215,44,1,1,f
3915,217,42,1,1,f
3915,2485,53,1,1,f
3915,877,83,1,2,f
3915,882,64,7,7,f
3915,1203,63,1,1,f
3915,1139,66,1,1,f
3915,1381,46,1,1,f
3915,995,97,1,1,f
3915,1438,72,1,1,f
3915,1440,72,1,1,f
3915,313,71,1,1,f
3915,436,59,1,1,f
3915,438,55,1,1,f
5923,526,100,1,1,f
5923,555,74,7,7,f
5923,557,56,4,4,f
5923,554,69,6,6,f
5923,558,72,9,9,f
5923,562,43,2,2,f
5923,559,3,7,7,f
5923,199,75,1,1,f
5923,201,57,1,1,f
5923,205,58,1,1,f
1086,877,83,1,2,f
1086,882,64,7,7,f
1086,1203,63,1,1,f
1086,1139,66,1,1,f
4669,1123,62,1,1,f
1086,995,97,1,1,f
4669,1355,55,1,1,f
4669,1369,68,1,1,f
4669,828,88,20,20,f
4669,892,74,4,4,f
4669,811,61,8,8,f
4669,1303,38,1,1,f
4669,830,40,5,5,f
4669,1149,7,1,1,f
1086,1381,46,1,1,f
4669,1749,100,1,1,f
4669,1315,92,1,1,f
4669,1197,59,1,1,f
7873,555,74,7,7,f
7873,557,56,4,4,f
7873,554,69,6,6,f
7873,558,72,9,9,f
7873,562,43,2,2,f
7873,199,75,1,1,f
7873,201,57,1,1,f
7873,203,64,1,1,f
7873,205,58,1,1,f
7873,207,57,1,1,f
7873,213,74,1,1,f
7873,209,59,1,1,f
7873,211,48,1,1,f
7873,215,44,1,1,f
7873,217,42,1,1,f
7873,2485,53,1,1,f
7873,877,83,1,2,f
7873,1203,63,1,1,f
7873,1139,66,1,1,f
7873,1381,46,1,1,f
7873,995,97,1,1,f
7873,1438,72,1,1,f
7873,1440,72,1,1,f
7873,1965,69,1,1,f
7873,313,71,1,1,f
7873,436,59,1,1,f
7873,438,55,1,1,f
7874,526,100,1,1,f
7874,555,74,7,7,f
7874,554,69,6,6,f
7874,558,72,9,9,f
7874,562,43,2,2,f
7874,559,3,7,7,f
7874,199,75,1,1,f
7874,201,57,1,1,f
7874,203,64,1,1,f
7874,205,58,1,1,f
7874,207,57,1,1,f
7874,213,74,1,1,f
7874,209,59,1,1,f
7874,211,48,1,1,f
7874,217,42,1,1,f
7874,2485,53,1,1,f
7874,877,83,1,2,f
7874,882,64,7,7,f
7874,1203,63,1,1,f
7874,1139,66,1,1,f
7874,1381,46,1,1,f
7874,995,97,1,1,f
7874,1438,72,1,1,f
7874,1440,72,1,1,f
7874,1965,69,1,1,f
7874,313,71,1,1,f
7874,438,55,1,1,f
7875,526,100,1,1,f
7875,555,74,7,7,f
7875,557,56,4,4,f
7875,554,69,6,6,f
7875,558,72,9,9,f
7875,562,43,2,2,f
7875,559,3,7,7,f
7875,199,75,1,1,f
7875,201,57,1,1,f
7875,203,64,1,1,f
7875,205,58,1,1,f
7875,213,74,1,1,f
7875,209,59,1,1,f
7875,211,48,1,1,f
7875,215,44,1,1,f
7875,217,42,1,1,f
7875,2485,53,1,1,f
7875,877,83,1,2,f
7875,882,64,7,7,f
7875,1203,63,1,1,f
7875,1139,66,1,1,f
7875,1381,46,1,1,f
7875,995,97,1,1,f
7875,1440,72,1,1,f
7875,1965,69,1,1,f
7875,313,71,1,1,f
7875,436,59,1,1,f
7875,438,55,1,1,f
7876,526,100,1,1,f
7876,555,74,7,7,f
7876,557,56,4,4,f
7876,554,69,6,6,f
7876,558,72,9,9,f
7876,562,43,2,2,f
7876,559,3,7,7,f
7876,201,57,1,1,f
7876,203,64,1,1,f
7876,205,58,1,1,f
7876,207,57,1,1,f
7876,213,74,1,1,f
7876,209,59,1,1,f
7876,211,48,1,1,f
7876,215,44,1,1,f
7876,217,42,1,1,f
7876,2485,53,1,1,f
7876,877,83,1,2,f
7876,882,64,7,7,f
7876,1139,66,1,1,f
7876,1381,46,1,1,f
7876,995,97,1,1,f
7876,1438,72,1,1,f
7876,1440,72,1,1,f
7876,1965,69,1,1,f
7876,313,71,1,1,f
7876,436,59,1,1,f
7876,438,55,1,1,f
7877,526,100,1,1,f
7877,555,74,7,7,f
7877,557,56,4,4,f
7877,558,72,9,9,f
7877,562,43,2,2,f
7877,559,3,7,7,f
7877,199,75,1,1,f
7877,201,57,1,1,f
7877,203,64,1,1,f
7877,205,58,1,1,f
7877,207,57,1,1,f
7877,213,74,1,1,f
7877,209,59,1,1,f
7877,211,48,1,1,f
7877,215,44,1,1,f
7877,2485,53,1,1,f
5923,1440,72,1,1,f
5923,1965,69,1,1,f
5923,313,71,1,1,f
5923,436,59,1,1,f
4669,1452,58,1,1,f
7873,526,100,1,1,f
4669,1462,27,1,1,f
4669,199,96,1,1,f
4669,201,79,1,1,f
4669,203,92,1,1,f
4669,205,92,1,1,f
4669,207,60,1,1,f
4669,209,73,1,1,f
4669,211,66,1,1,f
5923,438,55,1,1,f
4669,563,68,4,4,f
4669,560,60,5,5,f
4669,565,74,2,2,f
7878,201,57,1,1,f
7878,203,64,1,1,f
7878,205,58,1,1,f
7878,207,57,1,1,f
7878,213,74,1,1,f
7878,211,48,1,1,f
7878,215,44,1,1,f
7878,217,42,1,1,f
7878,2485,53,1,1,f
7878,877,83,1,2,f
7878,882,64,7,7,f
7878,1203,63,1,1,f
7878,1139,66,1,1,f
7878,1381,46,1,1,f
7878,995,97,1,1,f
7878,1438,72,1,1,f
7878,1440,72,1,1,f
7878,313,71,1,1,f
7878,436,59,1,1,f
7878,438,55,1,1,f
7879,526,100,1,1,f
7879,555,74,7,7,f
7879,557,56,4,4,f
7879,554,69,6,6,f
7879,558,72,9,9,f
7879,562,43,2,2,f
7879,559,3,7,7,f
7879,199,75,1,1,f
7879,201,57,1,1,f
7879,205,58,1,1,f
7879,207,57,1,1,f
7879,213,74,1,1,f
7879,209,59,1,1,f
7879,211,48,1,1,f
7879,215,44,1,1,f
7879,217,42,1,1,f
7879,2485,53,1,1,f
7879,877,83,1,2,f
7879,882,64,7,7,f
7879,1203,63,1,1,f
7879,1139,66,1,1,f
7879,995,97,1,1,f
7879,1438,72,1,1,f
7879,1440,72,1,1,f
7879,1965,69,1,1,f
7879,313,71,1,1,f
7879,436,59,1,1,f
7879,438,55,1,1,f
7918,526,100,1,1,f
7918,555,74,7,7,f
7918,557,56,4,4,f
7918,554,69,6,6,f
7918,558,72,9,9,f
7918,559,3,7,7,f
7918,199,75,1,1,f
7918,201,57,1,1,f
7918,203,64,1,1,f
7918,205,58,1,1,f
7918,207,57,1,1,f
7918,213,74,1,1,f
7918,209,59,1,1,f
7918,211,48,1,1,f
7918,215,44,1,1,f
7918,217,42,1,1,f
7918,2485,53,1,1,f
7918,882,64,7,7,f
7918,1203,63,1,1,f
7918,1139,66,1,1,f
7918,1381,46,1,1,f
7918,995,97,1,1,f
7918,1438,72,1,1,f
7918,1440,72,1,1,f
7918,1965,69,1,1,f
7918,313,71,1,1,f
7918,436,59,1,1,f
7918,438,55,1,1,f
7919,526,100,1,1,f
7919,557,56,4,4,f
7919,554,69,6,6,f
7919,558,72,9,9,f
7919,562,43,2,2,f
7919,559,3,7,7,f
7919,199,75,1,1,f
7919,201,57,1,1,f
7919,203,64,1,1,f
7919,205,58,1,1,f
7919,207,57,1,1,f
7919,213,74,1,1,f
7919,209,59,1,1,f
7919,215,44,1,1,f
7919,217,42,1,1,f
7919,2485,53,1,1,f
7919,877,83,1,2,f
7919,882,64,7,7,f
7919,1203,63,1,1,f
7919,1139,66,1,1,f
7919,1381,46,1,1,f
7919,995,97,1,1,f
7919,1438,72,1,1,f
7919,1440,72,1,1,f
7919,1965,69,1,1,f
7919,436,59,1,1,f
7919,438,55,1,1,f
7920,526,100,1,1,f
7920,555,74,7,7,f
7920,557,56,4,4,f
7920,554,69,6,6,f
7920,558,72,9,9,f
7920,562,43,2,2,f
7920,559,3,7,7,f
7920,199,75,1,1,f
7920,201,57,1,1,f
7920,203,64,1,1,f
7920,207,57,1,1,f
7920,213,74,1,1,f
7920,209,59,1,1,f
7920,211,48,1,1,f
7920,215,44,1,1,f
7920,217,42,1,1,f
7920,2485,53,1,1,f
7920,877,83,1,2,f
7920,882,64,7,7,f
7920,1203,63,1,1,f
7920,1139,66,1,1,f
7920,1381,46,1,1,f
7920,1438,72,1,1,f
7878,557,56,4,4,f
7878,554,69,6,6,f
7878,558,72,9,9,f
7878,562,43,2,2,f
4669,217,58,1,1,f
7878,199,75,1,1,f
4669,1623,66,1,1,f
4669,1621,65,1,1,f
4669,1619,59,1,1,f
4669,1617,71,1,1,f
4669,1897,63,3,3,f
7878,559,3,7,7,f
4669,213,70,1,1,f
4669,215,57,1,1,f
4669,2485,55,1,1,f
7921,215,44,1,1,f
7921,217,42,1,1,f
7921,2485,53,1,1,f
7921,877,83,1,2,f
7921,882,64,7,7,f
7921,1139,66,1,1,f
7921,1381,46,1,1,f
7921,995,97,1,1,f
7921,1438,72,1,1,f
7921,1440,72,1,1,f
7921,1965,69,1,1,f
7921,313,71,1,1,f
7921,436,59,1,1,f
7921,438,55,1,1,f
7922,526,100,1,1,f
7922,555,74,7,7,f
7922,557,56,4,4,f
7922,558,72,9,9,f
7922,562,43,2,2,f
7922,559,3,7,7,f
7922,199,75,1,1,f
7922,201,57,1,1,f
7922,203,64,1,1,f
7922,205,58,1,1,f
7922,207,57,1,1,f
7922,213,74,1,1,f
7922,209,59,1,1,f
7922,211,48,1,1,f
7922,215,44,1,1,f
7922,2485,53,1,1,f
7922,877,83,1,2,f
7922,882,64,7,7,f
7922,1203,63,1,1,f
7922,1139,66,1,1,f
7922,1381,46,1,1,f
7922,995,97,1,1,f
7922,1438,72,1,1,f
7922,1440,72,1,1,f
7922,1965,69,1,1,f
7922,313,71,1,1,f
7922,436,59,1,1,f
7923,526,100,1,1,f
7923,555,74,7,7,f
7923,557,56,4,4,f
7923,554,69,6,6,f
7923,558,72,9,9,f
7923,562,43,2,2,f
7923,559,3,7,7,f
7923,199,75,1,1,f
7923,201,57,1,1,f
7923,203,64,1,1,f
7923,205,58,1,1,f
7923,207,57,1,1,f
7923,209,59,1,1,f
7923,211,48,1,1,f
7923,215,44,1,1,f
7923,217,42,1,1,f
7923,2485,53,1,1,f
7923,877,83,1,2,f
7923,882,64,7,7,f
7923,1203,63,1,1,f
7923,1139,66,1,1,f
7923,1381,46,1,1,f
7923,995,97,1,1,f
7923,1438,72,1,1,f
7923,1965,69,1,1,f
7923,313,71,1,1,f
7923,436,59,1,1,f
7923,438,55,1,1,f
7924,526,100,1,1,f
7924,555,74,7,7,f
7924,557,56,4,4,f
7924,554,69,6,6,f
7924,558,72,9,9,f
7924,562,43,2,2,f
7924,559,3,7,7,f
7924,199,75,1,1,f
7924,203,64,1,1,f
7924,205,58,1,1,f
7924,207,57,1,1,f
7924,213,74,1,1,f
7924,209,59,1,1,f
7924,211,48,1,1,f
7924,215,44,1,1,f
7924,217,42,1,1,f
7924,2485,53,1,1,f
7924,877,83,1,2,f
7924,882,64,7,7,f
7924,1203,63,1,1,f
7924,1381,46,1,1,f
7924,995,97,1,1,f
7924,1438,72,1,1,f
7924,1440,72,1,1,f
7924,1965,69,1,1,f
7924,313,71,1,1,f
7924,436,59,1,1,f
7924,438,55,1,1,f
8010,526,100,1,1,f
8010,555,74,7,7,f
8010,557,56,4,4,f
8010,554,69,6,6,f
8010,562,43,2,2,f
8010,559,3,7,7,f
8010,199,75,1,1,f
8010,201,57,1,1,f
8010,203,64,1,1,f
8010,205,58,1,1,f
8010,207,57,1,1,f
8010,213,74,1,1,f
8010,209,59,1,1,f
8010,211,48,1,1,f
8010,215,44,1,1,f
8010,217,42,1,1,f
8010,877,83,1,2,f
8010,882,64,7,7,f
8010,1203,63,1,1,f
8010,1139,66,1,1,f
8010,1381,46,1,1,f
8010,995,97,1,1,f
8010,1438,72,1,1,f
8010,1440,72,1,1,f
8010,1965,69,1,1,f
8010,313,71,1,1,f
8010,436,59,1,1,f
8010,438,55,1,1,f
8011,555,74,7,7,f
7921,203,64,1,1,f
7921,205,58,1,1,f
7921,207,57,1,1,f
7921,213,74,1,1,f
4669,67,50,15,25,f
7921,211,48,1,1,f
4670,536,100,1,1,f
4670,1749,100,1,1,f
4670,1315,92,1,1,f
4670,1197,59,1,1,f
4670,1123,62,1,1,f
4670,1355,55,1,1,f
4670,1369,68,1,1,f
4670,828,88,20,20,f
7921,209,59,1,1,f
4669,995,70,45000,60000,f
4669,860,40,15,30,f
3,1203,63,1,1,f
16,554,69,6,6,f
16,217,42,1,1,f
24,213,74,1,1,f
24,1440,72,1,1,f
24,313,71,1,1,f
24,436,59,1,1,f
24,438,55,1,1,f
170,526,100,1,1,f
170,555,74,7,7,f
170,557,56,4,4,f
8011,995,97,1,1,f
8011,1438,72,1,1,f
8011,1440,72,1,1,f
8011,1965,69,1,1,f
8011,436,59,1,1,f
8011,438,55,1,1,f
1,557,56,4,4,f
4683,1355,60,1,1,f
1,436,59,1,1,f
2,207,57,1,1,f
4683,1247,51,1,1,f
3,199,75,1,1,f
170,554,69,6,6,f
170,558,72,9,9,f
170,562,43,2,2,f
170,559,3,7,7,f
170,203,64,1,1,f
170,1381,46,1,1,f
351,562,43,2,2,f
351,877,83,1,2,f
663,555,74,7,7,f
663,211,48,1,1,f
663,313,71,1,1,f
728,205,58,1,1,f
728,995,97,1,1,f
729,559,3,7,7,f
729,882,64,7,7,f
1086,557,56,4,4,f
1086,562,43,2,2,f
1086,559,3,7,7,f
1086,199,75,1,1,f
1086,201,57,1,1,f
1086,203,64,1,1,f
1086,205,58,1,1,f
1086,207,57,1,1,f
1086,213,74,1,1,f
1086,209,59,1,1,f
1086,211,48,1,1,f
1086,217,42,1,1,f
1086,438,55,1,1,f
3223,1440,72,1,1,f
3224,201,57,1,1,f
3224,1139,66,1,1,f
3225,558,72,9,9,f
3225,2485,53,1,1,f
3915,526,100,1,1,f
3915,209,59,1,1,f
3915,1965,69,1,1,f
5923,203,64,1,1,f
5923,207,57,1,1,f
5923,213,74,1,1,f
5923,209,59,1,1,f
5923,215,44,1,1,f
5923,217,42,1,1,f
5923,2485,53,1,1,f
5923,877,83,1,2,f
5923,882,64,7,7,f
5923,1203,63,1,1,f
5923,1139,66,1,1,f
5923,995,97,1,1,f
7873,559,3,7,7,f
7873,882,64,7,7,f
7874,557,56,4,4,f
7874,215,44,1,1,f
7875,207,57,1,1,f
7875,1438,72,1,1,f
7876,199,75,1,1,f
7876,1203,63,1,1,f
7877,554,69,6,6,f
7877,217,42,1,1,f
7877,877,83,1,2,f
7877,882,64,7,7,f
7877,1203,63,1,1,f
7877,1139,66,1,1,f
7877,1381,46,1,1,f
7877,995,97,1,1,f
7877,1440,72,1,1,f
7877,1965,69,1,1,f
7877,313,71,1,1,f
7877,436,59,1,1,f
7878,526,100,1,1,f
7878,209,59,1,1,f
7878,1965,69,1,1,f
7879,203,64,1,1,f
7879,1381,46,1,1,f
7918,562,43,2,2,f
7918,877,83,1,2,f
7919,555,74,7,7,f
7919,313,71,1,1,f
7920,205,58,1,1,f
7920,995,97,1,1,f
7920,1440,72,1,1,f
7920,1965,69,1,1,f
7920,313,71,1,1,f
7920,436,59,1,1,f
7920,438,55,1,1,f
7921,526,100,1,1,f
7921,555,74,7,7,f
7921,557,56,4,4,f
7921,554,69,6,6,f
7921,562,43,2,2,f
7921,199,75,1,1,f
7921,1203,63,1,1,f
7922,554,69,6,6,f
7922,217,42,1,1,f
7922,438,55,1,1,f
7923,213,74,1,1,f
7923,1440,72,1,1,f
7924,201,57,1,1,f
7924,1139,66,1,1,f
8010,558,72,9,9,f
8010,2485,53,1,1,f
8011,557,56,4,4,f
8011,209,59,1,1,f
8011,215,44,1,1,f
8011,217,42,1,1,f
8011,2485,53,1,1,f
8011,877,83,1,2,f
8011,882,64,7,7,f
8011,1203,63,1,1,f
8011,1139,66,1,1,f
8011,1381,46,1,1,f
4670,892,74,4,4,f
4670,811,61,8,8,f
4670,1303,38,1,1,f
4683,829,40,30,30,f
4683,830,35,5,5,f
4683,1249,5,1,1,f
1,215,44,1,1,f
2,1438,72,1,1,f
4683,1243,57,1,1,f
4683,1213,55,1,1,f
4683,1245,31,1,1,f
5923,1381,46,1,1,f
4,554,65,6,6,f
7874,436,59,1,1,f
7877,1438,72,1,1,f
7877,438,55,1,1,f
7919,211,48,1,1,f
7921,558,72,9,9,f
7921,559,3,7,7,f
8011,526,100,1,1,f
8011,558,72,9,9,f
8011,313,71,1,1,f
4,526,100,1,1,f
4,562,42,2,2,f
4,559,5,7,7,f
4,199,63,1,1,f
4,203,68,1,1,f
4,205,73,1,1,f
4,209,73,1,1,f
4,213,69,1,1,f
4,207,35,1,1,f
4,211,51,1,1,f
4,215,38,1,1,f
4,217,42,1,1,f
4,2485,32,1,1,f
4,995,80,1,1,f
4,1965,74,1,1,f
4,313,59,1,1,f
4,438,72,1,1,f
4,1438,66,1,1,f
4,1440,61,1,1,f
5,526,100,1,1,f
5,882,69,7,7,f
5,877,64,2,7,f
5,1203,57,1,1,f
5,1139,63,1,1,f
5,1381,33,1,1,f
5,555,60,7,7,f
5,557,64,4,4,f
5,554,65,6,6,f
5,562,42,2,2,f
5,559,5,7,7,f
5,199,63,1,1,f
5,201,67,1,1,f
5,203,68,1,1,f
5,205,73,1,1,f
5,209,73,1,1,f
5,213,69,1,1,f
5,207,35,1,1,f
5,211,51,1,1,f
5,215,38,1,1,f
5,217,42,1,1,f
5,995,80,1,1,f
5,1965,74,1,1,f
5,313,59,1,1,f
5,436,72,1,1,f
5,438,72,1,1,f
5,1438,66,1,1,f
5,1440,61,1,1,f
6,526,100,1,1,f
6,882,69,7,7,f
6,877,64,2,7,f
6,1203,57,1,1,f
6,1139,63,1,1,f
6,555,60,7,7,f
6,557,64,4,4,f
6,554,65,6,6,f
6,558,58,9,9,f
6,562,42,2,2,f
6,559,5,7,7,f
6,199,63,1,1,f
6,201,67,1,1,f
6,203,68,1,1,f
6,205,73,1,1,f
6,209,73,1,1,f
6,213,69,1,1,f
6,211,51,1,1,f
6,215,38,1,1,f
6,217,42,1,1,f
6,2485,32,1,1,f
6,995,80,1,1,f
